prefix,source_text,target_text,weight,rewards
facttotext,"<type>trend<subspace>economic sector,Manufacturing<groupby>year of assessment<measure>number of companies,avg<parameter>increasing<data>2008/01/01,3444.0<data>2019/01/01,4822.0","When economic sector is Manufacturing, the average number of companies has generally increased over years of assessment. The average number of companies is 3444.0 in 2008/01/01, and in 2019/01/01, it is 4822.0.",1,1
facttotext,"<type>outlier<subspace>year,2015/01/01<groupby>gender<measure>number of newborns,avg<focus>Males<parameter>21755.0<data>Females,20430.0<data>Unknown,0.0","When year is 2015/01/01, the average number of newborns among most genders is 20430.0 for Females, 0.0 for Unknown. Of Males, the average number of newborns is 21755.0, which is an outlier compared to other genders.",1,1
facttotext,"<type>extreme<subspace>Citizenship,Australian Citizen<groupby>Year<measure>number of visitors,avg<focus>2014/01/01<parameter>max,10.571428571428571<data>2015/01/01,10.19047619047619<data>2013/01/01,7.0476190476190474<data>2016/01/01,8.285714285714286<data>2012/01/01,8.476190476190476<data>2011/01/01,9.333333333333334","When citizenship is Australian Citizen, the average number of visitors is 10.19 in 2015/01/01, 7.05 in 2013/01/01, 8.29 in 2016/01/01, 8.48 in 2012/01/01, 9.33 in 2011/01/01. The average number of visitors in 2014/01/01 is 10.57, the highest across all years.",1,1
facttotext,"<type>extreme<groupby>region<measure>number of arrivals,avg<focus>ASIA<parameter>max,5013606.833333333<data>AFRICA,109476.0<data>AMERICAS,1151941.0<data>OCEANIA,1821803.5<data>EUROPE,702645.1666666666","Among most regions, the average number of arrivals is 109476.0 for Africa, 1151941.0 for Americas, 1821803.5 for Oceania, 702645.17 for Europe. Asia has the highest average number of arrivals, which is 5013606.83.",1,1
facttotext,"<type>rank<subspace>year,2019/01/01<groupby>Age Group <measure>number of Marriages,avg<parameter>25-29,30-34,20-24,35-39,40-44,45-49,50-54,55-59,60 & Over,Under 20<data>Under 20,29.0<data>60 & Over,36.25<data>55-59,44.25<data>50-54,72.0<data>45-49,95.0<data>40-44,125.25<data>35-39,220.5<data>20-24,409.75<data>30-34,527.75<data>25-29,1212.75","When year is 2019/01/01, among all age groups , 25-29 has the highest average number of marriages at 1212.75, followed by 30-34 at 527.75, 20-24 at 409.75, 35-39 at 220.5, 40-44 at 125.25.",1,1
facttotext,"<type>trend<subspace>vehicle type,Articulated Vehicles<groupby>year<measure>number of vehicle,avg<parameter>decreasing<data>2004/01/01,351.6<data>2011/01/01,0.0","When vehicle type is Articulated Vehicles, the average number of vehicle is 351.6 in 2004/01/01, and in 2011/01/01, it is 0.0. In general, the average number of vehicle is decreasing over years.",1,1
facttotext,"<type>rank<groupby>Age Group<measure>Resident Population,avg<parameter>50 - 54,55 - 59,35 - 39,45 - 49,40 - 44,30 - 34,20 - 24,15 - 19,60 - 64,25 - 29,5 - 9,10 - 14,65 - 69,75 & Over,70 - 74<data>70 - 74,7.315384615384617<data>75 & Over,12.508333333333335<data>65 - 69,13.146153846153847<data>10 - 14,14.860000000000001<data>5 - 9,15.37142857142857<data>25 - 29,16.96428571428571<data>60 - 64,17.507692307692306<data>15 - 19,18.150000000000002<data>20 - 24,18.192857142857143<data>30 - 34,18.7<data>40 - 44,19.873333333333335<data>45 - 49,20.22857142857143<data>35 - 39,20.45<data>55 - 59,21.138461538461534<data>50 - 54,21.321428571428573","The top 5 age groups ordered by average resident population are 50 - 54 at 21.32, 55 - 59 at 21.14, 35 - 39 at 20.45, 45 - 49 at 20.23, 40 - 44 at 19.87.",1,1
facttotext,"<type>trend<subspace>region,asean<groupby>year<measure>export revenue,avg<parameter>decreasing<data>2007/01/01,0.16<data>2017/01/01,nan","When region is Asean, the average export revenue is 0.16 in 2007/01/01, and in 2017/01/01, it is nan. In general, the average export revenue is decreasing over years.",1,1
facttotext,"<type>trend<subspace>Province,Germany<groupby>Date<measure>number of new confirmed cases,avg<parameter>no trend<data>2020/01/22,nan<data>2020/01/29,3.0","When province is Germany, the average number of new confirmed cases is nan on 2020/01/22 and 3.0 on 2020/01/29. In general, the average number of new confirmed cases is no trend over dates.",1,1
facttotext,"<type>proportion<subspace>year,2016/01/01<groupby>arrears type<measure>tax_arrears,sum<focus>Current Financial Year<parameter>54.04%","When year is 2016/01/01, 54.04% of the total tax_arrears come from Current Financial Year.",1,1
